tier_name,tier_type,start_time,end_time,text
tones,TextTier,5.510298020041577,5.510298020041577,H*
tones,TextTier,5.934156981543004,5.934156981543004,H*
tones,TextTier,6.687129960210245,6.687129960210245,H*
tones,TextTier,7.81986527454709,7.81986527454709,L-L%
tones,TextTier,8.173129613474073,8.173129613474073,H*
tones,TextTier,8.66181406320513,8.66181406320513,H*
tones,TextTier,9.542614521742115,9.542614521742115,L-L%
tones,TextTier,10.093853847924045,10.093853847924045,H*
tones,TextTier,10.831867098538295,10.831867098538295,H*
tones,TextTier,11.61152625786002,11.61152625786002,L-L%
tones,TextTier,11.903980942336021,11.903980942336021,H*
tones,TextTier,12.62703446489728,12.62703446489728,H*
tones,TextTier,13.55964683510633,13.55964683510633,L-L%
words,IntervalTier,1.5597053755391466,1.6976560680046215,The
words,IntervalTier,1.6976560680046215,2.1643403254942073,Red
words,IntervalTier,2.1643403254942073,2.37566904586685,Wheel
words,IntervalTier,2.37566904586685,2.8746396356355897,barrow
words,IntervalTier,2.8746396356355897,5.3044664778893855,<sil>
words,IntervalTier,5.3044664778893855,5.862139489983859,so
words,IntervalTier,5.862139489983859,6.366980321985172,much
words,IntervalTier,6.366980321985172,7.053798663196261,depends
words,IntervalTier,7.053798663196261,7.819082716219939,upon
words,IntervalTier,7.819082716219939,8.01635154127303,a
words,IntervalTier,8.01635154127303,8.527062615506916,red
words,IntervalTier,8.527062615506916,9.072995143136243,wheel
words,IntervalTier,9.072995143136243,9.542614521742115,barrow
words,IntervalTier,9.542614521742115,9.97959891883654,<sil>
words,IntervalTier,9.97959891883654,10.484439750333012,glazed
words,IntervalTier,10.484439750333012,10.643537261261192,with
words,IntervalTier,10.643537261261192,11.188868817537392,rain
words,IntervalTier,11.188868817537392,11.61152625786002,water
words,IntervalTier,11.61152625786002,12.268993387250774,beside
words,IntervalTier,12.268993387250774,12.433360169598462,the
words,IntervalTier,12.433360169598462,12.791444945427354,white
words,IntervalTier,12.791444945427354,13.55964683510633,chickens
beats,TextTier,5.510298020041577,5.510298020041577,B
beats,TextTier,5.934156981543004,5.934156981543004,B
beats,TextTier,6.687129960210245,6.687129960210245,B
beats,TextTier,7.370290874630193,7.370290874630193,B
beats,TextTier,8.173129613474073,8.173129613474073,B
beats,TextTier,8.66181406320513,8.66181406320513,B
beats,TextTier,9.210337425148154,9.210337425148154,B
beats,TextTier,9.542614521742115,9.542614521742115,[B]
beats,TextTier,10.093853847924045,10.093853847924045,B
beats,TextTier,10.831867098538295,10.831867098538295,B
beats,TextTier,11.295618668181032,11.295618668181032,B
beats,TextTier,11.61152625786002,11.61152625786002,
beats,TextTier,11.923927246406677,11.923927246406677,B
beats,TextTier,12.552235824632323,12.552235824632323,B
beats,TextTier,12.986067938169079,12.986067938169079,B
beats,TextTier,13.55964683510633,13.55964683510633,[B]
breaks,TextTier,5.862139489983859,5.862139489983859,1
breaks,TextTier,6.366980321985172,6.366980321985172,3
breaks,TextTier,7.053798663196261,7.053798663196261,0
breaks,TextTier,7.81986527454709,7.81986527454709,4
breaks,TextTier,8.01635154127303,8.01635154127303,1
breaks,TextTier,8.527062615506916,8.527062615506916,1
breaks,TextTier,9.072995143136243,9.072995143136243,1
breaks,TextTier,9.542614521742115,9.542614521742115,4
breaks,TextTier,10.484439750333012,10.484439750333012,3
breaks,TextTier,10.643537261261192,10.643537261261192,1
breaks,TextTier,11.188868817537392,11.188868817537392,1
breaks,TextTier,11.61152625786002,11.61152625786002,4
breaks,TextTier,12.268993387250774,12.268993387250774,3
breaks,TextTier,12.433360169598462,12.433360169598462,1
breaks,TextTier,12.791444945427354,12.791444945427354,1
breaks,TextTier,13.55964683510633,13.55964683510633,4
text,IntervalTier,5.3044664778893855,6.366980321985172,so much
text,IntervalTier,6.366980321985172,7.81986527454709,depends\n upon\n\n
text,IntervalTier,7.81986527454709,9.542614521742115,a red wheel\n barow\n\n
text,IntervalTier,9.97959891883654,10.484439750333012,glazed
text,IntervalTier,10.484439750333012,11.61152625786002,with rain\n water\n\n
text,IntervalTier,11.61152625786002,12.268993387250774,beside
text,IntervalTier,12.268993387250774,13.55964683510633,the white\n chickens
